,text,sentiment
0,sangat memuaskan untuk perjalanan ke jogja,positive
1,kamar yang nyaman dan unik suka,positive
2,hotel direkomendasikan banget deh pokoknya pelayanannya bagus dan cepat asyik buat yang sudah berpasangan suami istri,positive
3,sangat menyenangkan lokasinya yang dekat dari berbagai fasilitas umum dan destinasi wisata di jogja sangatlah membantu liburan saya disini,positive
4,pelayanan yang baik mudah akses,positive
5,lokasi strategis bantalnya banyak wifi lumayan,positive
6,seperti biasa kamar oke nyaman recommended buat traveler yang budget tidak banyak tapi dapat kamar yang bagus akses mudah di tengah kota,positive
7,sangat setimpal dan tidak jauh dari jalan utama tidak susah mencari makan apa saja ada sepanjang jalan sekitar hotel,positive
8,sempurna ada teh gratis dari jam di restaurant di atap para petugas membantu dengan sangat ramah dan baik,positive
9,recommended kamar bersih dan mostly tidak ada asap rokok karena semua kamar dan lobby dan koridor kamar bebas asap rokok dan vape,positive
10,pelayanan bagus letak hotel yang dekat mana mana kamar pun bersih tidak berbau,positive
11,makanannya suka enak tempatnya juga nyaman,positive
12,hotelnya bersih kenyamanan oke sarapan pagi oke,positive
13,menyenangkan sudah jadi langganan kalau liburan ke jogja pasti selalu pakai yellow star kamarnya bagus bersih kamar mandi juga bersih cocok lah pokoknya harganya murah tapi fasilitas bagus pelayanannya oke,positive
14,kamar bersih sangat mirip seperti difoto lokasi sangat strategis harga terjangkau tentunya kalo saya ke jogja saya akan nginap lagi di yellow star hotel gejayan,positive
15,kamar hotel bersih dan pelayanannya juga ramah lokasi cukup strategis dan dekat ke pusat kota recommended untuk perjalanan bisnis,positive
16,kamar sesuai dengan yang di picture pelayanan yang sangat ramah cepat dan bagi saya ini sangat terjangkau terima kasih yellow,positive
17,bersih dekat mini market kafe dan lain lain,positive
18,kamarnya nyaman dan bersih cocok buat istirahat santai sore di atap juga enak,positive
19,tempatnya nyaman pelayanannya bagus sarapannya juga oke berada di jalan yang ramai yang aksesnya gampang,positive
20,bersih dan makanan enak enak banyak macamnya sarapan maupun ala carte enak semua,positive
21,terima kasih sudah memberi saya kejutan ulang tahun,positive
22,puas satu kata yang menggambarkan pengalaman saya ketika menginap di yellow star gejayan terlepas dari beberapa hal yang perlu diperbaiki seperti gorden kamar mandi yang sedikit rusak dan gambar televisi yang kurang jernih semua fasilitas dan pelayanan yang diberikan pihak hotel jauh dari kata mengecewakan,positive
23,nyaman bersih bed yang empuk dan nyaman hanya harga agak tinggi dan tidak ada kopi maker di kamar,positive
24,bersih nyaman ac dingin dekat pusat kota,positive
25,aku sering banget menginap disini dengan harga yang murah dapat kamar yang nyaman keren deh pokoknya,positive
26,pelayanan ramah hotel bersih cuma waktu pagi agak bau di toiletnya kamar di upgrade ke suite room tidak kena charge secara keseluruhan bagus saya rekomendasi,positive
27,pelayanannya sangat ramah mulai dari cs sampai staf untuk sarapannya meskipun tidak banyak menu tapi rasa dari makanannya enak setimpal dengan budget segitu,positive
